#,Table,Measure Name,Folder,Format String,Hidden,Referenced Tables,Key DAX Functions,Metric Keys Used,Category,DAX Expression
1,Metric Table,Budget,Projection Metrics,"#,0",No,Budget; Discharge; Admission; Metric Table,SWITCH; CALCULATE; SUM; AVERAGE; MAX; FORMAT; IF; SELECTEDVALUE; EOMONTH; DAY; ALL; BLANK; MONTH,1; 10; 11; 12; 13; 14; 15; 16; 17; 18; 2; 3; 4; 6; 7; 8; 9,Projection Metrics,"VAR PreMaxDate = CALCULATE(MAX(Discharge[Discharge_Date]),ALL('Metric Table'))
VAR LatestDate = DAY(PreMaxDate)
VAR MaxDate = IF(LatestDate<=10,EOMONTH(PreMaxDate,-1),PreMaxDate)
VAR CurrentMonth =  CALCULATE(FORMAT(MaxDate,""YYYYMM""), ALL('Metric Table'))
VAR LastDayofMonth = DAY(MaxDate)
RETURN 
SWITCH(MAX('Metric Table'[Metric Key]),
    18, CALCULATE(SUM(Budget[Amount]), Budget[Year_Month] = CurrentMonth, Budget[Metric] = ""Admissions""),
    2,CALCULATE(SUM(Budget[Amount]),Budget[Year_Month]=CurrentMonth,Budget[Metric]=""Discharges""),
    3,CALCULATE(SUM(Budget[Amount]),Budget[Year_Month]=CurrentMonth,Budget[Metric]=""Patient Days""),
    1,CALCULATE(SUM(Budget[Amount]),Budget[Year_Month]=CurrentMonth,Budget[Metric]=""Average Daily Census""),
    // 4,if(SELECTEDVALUE('Metric Table'[Entity Display PD]) in {""WCMC"",""CMC""},
    4,FORMAT(CALCULATE(AVERAGE(Budget[Amount]),Budget[Year_Month]=CurrentMonth,Budget[Metric]=""Average Length of Stay""),""#.00""), 
        // FORMAT(5.24,""#.00"")),
    5, if(SELECTEDVALUE('Metric Table'[Entity Display PD]) = ""BHC"",FORMAT(5.68,""0.00""),
        if(SELECTEDVALUE('Metric Table'[Entity Display PD]) = ""CMC/WC"",BLANK(),FORMAT(4.13,""0.00""))),
    6, FORMAT(1.24,""0.00""),
    7,CALCULATE(SUM(Budget[Amount]),Budget[Year_Month]=CurrentMonth,Budget[Metric]IN {""ED Visits - Inpatient"", ""ED Visits - Outpatient""}),
    8,CALCULATE(SUM(Budget[Amount]),Budget[Year_Month]=CurrentMonth,Budget[Metric] in {""Surgical Procedures - Inpatient""}),
    16,CALCULATE(SUM(Budget[Amount]),Budget[Year_Month]=CurrentMonth,Budget[Metric] in {""Surgical Procedures - Outpatient""}),
    17,CALCULATE(SUM(Budget[Amount]),Budget[Year_Month]=CurrentMonth,Budget[Metric] in {""Surgical Procedures - Inpatient"",""Surgical Procedures - Outpatient""}),
    9,BLANK(),
    10,BLANK(),
    11,CALCULATE(SUM(Budget[Amount]),Budget[Year_Month]=CurrentMonth ,Budget[Metric]=""wRVU""),
    12,BLANK(),
    13,FORMAT(CALCULATE(SUM(Budget[Amount]),Budget[Year_Month]=CurrentMonth,Budget[Metric] in {""Charges-Inpatient"",""Charges-Outpatient""})/1000,""$ #,###""),
    14,FORMAT(CALCULATE(SUM(Budget[Amount]),Budget[Year_Month]=CurrentMonth,Budget[Metric]=""Collections"")/1000,""$ #,###""),
    15,FORMAT(CALCULATE(SUM(Budget[Amount]),Budget[Year_Month]=CurrentMonth,Budget[Metric]=""Patient Days"")/
            CALCULATE(SUM(Budget[Amount]),Budget[Year_Month]=CurrentMonth,Budget[Metric]=""Discharges""),""#.00""))"
2,Metric Table,Days Remaining,Projection Metrics,0,No,Discharge; Metric Table,CALCULATE; MAX; IF; EOMONTH; DAY; ALL; MONTH,N/A,Projection Metrics,"VAR PreMaxDate = CALCULATE(MAX(Discharge[Discharge_Date]),ALL('Metric Table'))
VAR LatestDate = DAY(PreMaxDate)
VAR MaxDate = IF(LatestDate<=10,EOMONTH(PreMaxDate,-1),PreMaxDate)
RETURN
DAY(EOMONTH(MaxDate,0)) - DAY(MaxDate)"
3,Metric Table,MTD,Projection Metrics,"#,0",No,Discharge; Postdate; Admission; Metric Table,SWITCH; CALCULATE; SUM; MAX; FORMAT; IF; EOMONTH; DAY; DATESBETWEEN; ALL; BLANK; MONTH,1; 10; 11; 12; 13; 14; 15; 16; 17; 18; 2; 3; 4; 5; 6; 7; 8; 9,Projection Metrics,"VAR PreMaxDate = CALCULATE(MAX(Discharge[Discharge_Date]),ALL('Metric Table'))
VAR LatestDate = DAY(PreMaxDate)
VAR MaxDate = IF(LatestDate<=10,EOMONTH(PreMaxDate,-1),PreMaxDate)
VAR MinDate = EOMONTH(MaxDate,-1)+1
VAR Days = DAY(MaxDate)
RETURN 
SWITCH(MAX('Metric Table'[Metric Key]),
    18, CALCULATE(SUM(Admission[Admissions]),DATESBETWEEN(Admission[Admit_Date],MinDate,MaxDate)),
    2,CALCULATE(SUM(Discharge[JMH_Discharges]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate)),
    3,CALCULATE(SUM(Postdate[Patient_Days]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate)),
    1,CALCULATE(SUM(Postdate[Patient_Days]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate))/Days,
    4,FORMAT(CALCULATE(SUM(Discharge[JMH_Days]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))/
        CALCULATE(SUM(Discharge[JMH_Discharges]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate)),""#.00""),
    5,FORMAT(CALCULATE(SUM(Discharge[Weighted_GLOS_no_Babies]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))/
        CALCULATE(SUM(Discharge[JMH_Discharges_Billed]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate)),""0.00""),
    6,FORMAT((CALCULATE(SUM(Discharge[JMH_Days_MIP]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))/
        CALCULATE(SUM(Discharge[JMH_Discharges_Billed]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate)))/
        (CALCULATE(SUM(Discharge[Weighted_GLOS_no_Babies]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))/
        CALCULATE(SUM(Discharge[JMH_Discharges_Billed]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))),""0.00""),
    7,CALCULATE(SUM(Postdate[ED_Visits]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate)),
    8,CALCULATE(SUM(Postdate[Surgical_Procedures]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate),Postdate[Patient_Type]=""Inpatient""),
    16,CALCULATE(SUM(Postdate[Surgical_Procedures]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate),Postdate[Patient_Type]=""Outpatient""),
    17,CALCULATE(SUM(Postdate[Surgical_Procedures]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate)),
    9,BLANK(),
    10,BLANK(),
    11,CALCULATE(SUM(Postdate[PN_Weighted_wRVU]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate)),
    12,BLANK(),
    13,FORMAT(CALCULATE(SUM(Postdate[Charges]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate))/1000,""$ #,###""),
    14,FORMAT(CALCULATE(SUM(Postdate[Collections]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate))/1000,""$ #,###""),
    15,FORMAT(CALCULATE(SUM(Discharge[JMH_Days_MIP]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))/
        CALCULATE(SUM(Discharge[JMH_Discharges_Billed]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate)),""#.00""))"
4,Metric Table,MTD Header,Projection Metrics,mm/dd/yyyy,No,Discharge; Metric Table,CALCULATE; MAX; IF; EOMONTH; DAY; ALL; MONTH,N/A,Projection Metrics,"VAR PreMaxDate = CALCULATE(MAX(Discharge[Discharge_Date]),ALL('Metric Table'))
VAR LatestDate = DAY(PreMaxDate)
VAR MaxDate = IF(LatestDate<=10,EOMONTH(PreMaxDate,-1),PreMaxDate)
RETURN
MaxDate"
5,Metric Table,MTD Header Day,Projection Metrics,0,No,Discharge; Metric Table,CALCULATE; MAX; IF; EOMONTH; DAY; ALL; MONTH,N/A,Projection Metrics,"VAR PreMaxDate = CALCULATE(MAX(Discharge[Discharge_Date]),ALL('Metric Table'))
VAR LatestDate = DAY(PreMaxDate)
VAR MaxDate = IF(LatestDate<=10,EOMONTH(PreMaxDate,-1),PreMaxDate)
RETURN
DAY(MaxDate)"
6,Metric Table,Projections,Projection Metrics,"#,0",No,Discharge; Postdate; Admission; Metric Table,SWITCH; CALCULATE; SUM; MAX; FORMAT; IF; EOMONTH; DAY; DATESBETWEEN; ALL; BLANK; MONTH,10; 11; 12; 13; 14; 15; 16; 17; 18; 2; 3; 4; 5; 6; 7; 8; 9,Projection Metrics,"VAR PreMaxDate = CALCULATE(MAX(Discharge[Discharge_Date]),ALL('Metric Table'))
VAR LatestDate = DAY(PreMaxDate)
VAR MaxDate = IF(LatestDate<=10,EOMONTH(PreMaxDate,-1),PreMaxDate)
VAR MinDate = EOMONTH(MaxDate,-1)+1
VAR _63MinDate = MaxDate - 62
VAR MonthLastDay = Day(EOMONTH(MaxDate,0))
VAR Days = DAY(MaxDate)
VAR RemainingDays = MonthLastDay - Days
RETURN 
SWITCH(MAX('Metric Table'[Metric Key]),
    18,CALCULATE(SUM(Admission[Admissions]),DATESBETWEEN(Admission[Admit_Date],MinDate,MaxDate))+
        ((CALCULATE(SUM(Admission[Admissions]),DATESBETWEEN(Admission[Admit_Date],_63MinDate,MaxDate))/63)*RemainingDays),
    2,CALCULATE(SUM(Discharge[JMH_Discharges]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))+
        ((CALCULATE(SUM(Discharge[JMH_Discharges]),DATESBETWEEN(Discharge[Discharge_Date],_63MinDate,MaxDate))/63)*RemainingDays),
    3,CALCULATE(SUM(Postdate[Patient_Days]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate))+
        ((CALCULATE(SUM(Postdate[Patient_Days]),DATESBETWEEN(Postdate[Date],_63MinDate,MaxDate))/63)*RemainingDays),
    1,(CALCULATE(SUM(Postdate[Patient_Days]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate))+
        ((CALCULATE(SUM(Postdate[Patient_Days]),DATESBETWEEN(Postdate[Date],_63MinDate,MaxDate))/63)*RemainingDays))/MonthLastDay,
    4,FORMAT(((CALCULATE(SUM(Discharge[JMH_Days]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))+
        ((CALCULATE(SUM(Discharge[JMH_Days]),DATESBETWEEN(Discharge[Discharge_Date],_63MinDate,MaxDate))/63)*RemainingDays))/
        (CALCULATE(SUM(Discharge[JMH_Discharges]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))+
        ((CALCULATE(SUM(Discharge[JMH_Discharges]),DATESBETWEEN(Discharge[Discharge_Date],_63MinDate,MaxDate))/63)*RemainingDays))),""#.00""),
    5,FORMAT(((CALCULATE(SUM(Discharge[Weighted_GLOS_no_Babies]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))+
        ((CALCULATE(SUM(Discharge[Weighted_GLOS_no_Babies]),DATESBETWEEN(Discharge[Discharge_Date],_63MinDate,MaxDate))/63)*RemainingDays))/
        (CALCULATE(SUM(Discharge[JMH_Discharges_Billed]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))+
        ((CALCULATE(SUM(Discharge[JMH_Discharges_Billed]),DATESBETWEEN(Discharge[Discharge_Date],_63MinDate,MaxDate))/63)*RemainingDays))),""#.00""),
    6,FORMAT(((CALCULATE(SUM(Discharge[JMH_Days_MIP]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))+
        ((CALCULATE(SUM(Discharge[JMH_Days_MIP]),DATESBETWEEN(Discharge[Discharge_Date],_63MinDate,MaxDate))/63)*RemainingDays))/
        (CALCULATE(SUM(Discharge[JMH_Discharges]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))+
        ((CALCULATE(SUM(Discharge[JMH_Discharges]),DATESBETWEEN(Discharge[Discharge_Date],_63MinDate,MaxDate))/63)*RemainingDays)))
        /((CALCULATE(SUM(Discharge[Weighted_GLOS_no_Babies]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))+
        ((CALCULATE(SUM(Discharge[Weighted_GLOS_no_Babies]),DATESBETWEEN(Discharge[Discharge_Date],_63MinDate,MaxDate))/63)*RemainingDays))/
        (CALCULATE(SUM(Discharge[JMH_Discharges_Billed]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))+
        ((CALCULATE(SUM(Discharge[JMH_Discharges_Billed]),DATESBETWEEN(Discharge[Discharge_Date],_63MinDate,MaxDate))/63)*RemainingDays)))
        ,""0.00""),
    7,CALCULATE(SUM(Postdate[ED_Visits]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate))+
        CALCULATE(SUM(Postdate[ED_Visits]),DATESBETWEEN(Postdate[Date],_63MinDate,MaxDate))/63*RemainingDays,
    8,CALCULATE(SUM(Postdate[Surgical_Procedures]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate),Postdate[Patient_Type]=""Inpatient"")+
        CALCULATE(SUM(Postdate[Surgical_Procedures]),DATESBETWEEN(Postdate[Date],_63MinDate,MaxDate),Postdate[Patient_Type]=""Inpatient"")/63*RemainingDays,
    16,CALCULATE(SUM(Postdate[Surgical_Procedures]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate),Postdate[Patient_Type]=""Outpatient"")+
        CALCULATE(SUM(Postdate[Surgical_Procedures]),DATESBETWEEN(Postdate[Date],_63MinDate,MaxDate),Postdate[Patient_Type]=""Outpatient"")/63*RemainingDays,
    17,CALCULATE(SUM(Postdate[Surgical_Procedures]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate))+
        CALCULATE(SUM(Postdate[Surgical_Procedures]),DATESBETWEEN(Postdate[Date],_63MinDate,MaxDate))/63*RemainingDays,
    9,BLANK(),
    10,BLANK(),
    11,CALCULATE(SUM(Postdate[PN_Weighted_wRVU]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate))+
        CALCULATE(SUM(Postdate[PN_Weighted_wRVU]),DATESBETWEEN(Postdate[Date],_63MinDate,MaxDate))/63*RemainingDays,
    12,BLANK(),
    13,FORMAT((CALCULATE(SUM(Postdate[Charges]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate))+
        CALCULATE(SUM(Postdate[Charges]),DATESBETWEEN(Postdate[Date],_63MinDate,MaxDate))/63*RemainingDays)/1000,""$ #,###""),
    14,FORMAT((CALCULATE(SUM(Postdate[Collections]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate))+
        CALCULATE(SUM(Postdate[Collections]),DATESBETWEEN(Postdate[Date],_63MinDate,MaxDate))/63*RemainingDays)/1000,""$ #,###""),
    15,FORMAT(((CALCULATE(SUM(Discharge[JMH_Days_MIP]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))+
        ((CALCULATE(SUM(Discharge[JMH_Days_MIP]),DATESBETWEEN(Discharge[Discharge_Date],_63MinDate,MaxDate))/63)*RemainingDays))/
        (CALCULATE(SUM(Discharge[JMH_Discharges]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))+
        ((CALCULATE(SUM(Discharge[JMH_Discharges]),DATESBETWEEN(Discharge[Discharge_Date],_63MinDate,MaxDate))/63)*RemainingDays))),""#.00""))"
7,Metric Table,PY,Projection Metrics,"#,0",No,Discharge; Postdate; Admission; Metric Table,SWITCH; CALCULATE; SUM; MAX; FORMAT; IF; EOMONTH; DAY; DATESBETWEEN; ALL; BLANK; MONTH,1; 10; 11; 12; 13; 14; 15; 16; 17; 18; 2; 3; 4; 5; 6; 7; 8; 9,Projection Metrics,"VAR PreMaxDate = EOMONTH(CALCULATE(MAX(Discharge[Discharge_Date]),ALL('Metric Table')),-12)
VAR LatestDate = DAY(MAX(Discharge[Discharge_Date]))
VAR MaxDate = IF(LatestDate<=10,EOMONTH(PreMaxDate,-1),PreMaxDate)
VAR MinDate = EOMONTH(MaxDate,-1)+1
VAR Days = DAY(MaxDate)
RETURN 
SWITCH(MAX('Metric Table'[Metric Key]),
    18,CALCULATE(SUM(Admission[Admissions]),DATESBETWEEN(Admission[Admit_Date],MinDate,MaxDate)),
    2,CALCULATE(SUM(Discharge[JMH_Discharges]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate)),
    3,CALCULATE(SUM(Postdate[Patient_Days]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate)),
    1,CALCULATE(SUM(Postdate[Patient_Days]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate))/Days,
    4,FORMAT(CALCULATE(SUM(Discharge[JMH_Days]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))/
        CALCULATE(SUM(Discharge[JMH_Discharges]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate)),""#.00""),
    5,FORMAT(CALCULATE(SUM(Discharge[Weighted_GLOS_no_Babies]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))/
        CALCULATE(SUM(Discharge[JMH_Discharges_Billed]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate)),""0.00""),
    6,FORMAT((CALCULATE(SUM(Discharge[JMH_Days_MIP]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))/
        CALCULATE(SUM(Discharge[JMH_Discharges_Billed]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate)))/
        (CALCULATE(SUM(Discharge[Weighted_GLOS_no_Babies]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))/
        CALCULATE(SUM(Discharge[JMH_Discharges_Billed]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))),""0.00""),
    7,CALCULATE(SUM(Postdate[ED_Visits]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate)),
    7,CALCULATE(SUM(Postdate[ED_Visits]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate)),
    8,CALCULATE(SUM(Postdate[Surgical_Procedures]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate),Postdate[Patient_Type]=""Inpatient""),
    16,CALCULATE(SUM(Postdate[Surgical_Procedures]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate),Postdate[Patient_Type]=""Outpatient""),
    17,CALCULATE(SUM(Postdate[Surgical_Procedures]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate)),
    9,BLANK(),
    10,BLANK(),
    11,CALCULATE(SUM(Postdate[PN_Weighted_wRVU]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate)),
    12,BLANK(),
    13,FORMAT(CALCULATE(SUM(Postdate[Charges]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate))/1000,""$ #,###""),
    14,FORMAT(CALCULATE(SUM(Postdate[Collections]),DATESBETWEEN(Postdate[Date],MinDate,MaxDate))/1000,""$ #,###""),
    15,FORMAT(CALCULATE(SUM(Discharge[JMH_Days_MIP]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate))/
        CALCULATE(SUM(Discharge[JMH_Discharges_Billed]),DATESBETWEEN(Discharge[Discharge_Date],MinDate,MaxDate)),""#.00""))"
8,Metric Table,PY Dates,(none),(none),No,Discharge; Metric Table,CALCULATE; MAX; IF; EOMONTH; DAY; ALL; MONTH,N/A,Debug/Utility,"VAR PreMaxDate = EOMONTH(CALCULATE(MAX(Discharge[Discharge_Date]),ALL('Metric Table')),-12)
VAR LatestDate = DAY(MAX(Discharge[Discharge_Date]))
VAR MaxDate = IF(LatestDate<=10,EOMONTH(PreMaxDate,-1),PreMaxDate)
VAR MinDate = EOMONTH(MaxDate,-1)+1
VAR Days = DAY(MaxDate)
RETURN 
     ""MinDate: ""&MinDate&"" MaxDate: ""&MaxDate
    // MinDate"
9,Metric Table,Variance,Projection Metrics,"#,##0;(#,##0)",No,Budget; Metric Table,MAX; FORMAT; IF; SELECTEDVALUE; BLANK,N/A,Projection Metrics,"IF(MAX('Metric Table'[Metric Key])=4,FORMAT([Projections] - [Budget_value],""0.00;(0.00)""),
            IF((SELECTEDVALUE('Metric Table'[Entity Display PD])&MAX('Metric Table'[Metric Key]) = ""CMC/WC5""),BLANK(),[Projections] - [Budget_value]))"
10,Metric Table,Variance to PY,Projection Metrics,"#,##0;(#,##0)",No,Metric Table,MAX; FORMAT; IF; SELECTEDVALUE; BLANK; CONVERT,N/A,Projection Metrics,"IF(MAX('Metric Table'[Metric Key])=4,FORMAT([Projections] - [PY],""0.00;(0.00)""),
    IF(SELECTEDVALUE('Metric Table'[Entity Display PD])& CONVERT(MAX('Metric Table'[Metric Key]),STRING)=""CMC/WC5"" ,BLANK(),[Projections] - [PY]))"
11,Metric Table,Variance to PY_CF,Projection Metrics,(none),No,Metric Table,MAX; IF,N/A,Projection Metrics,"IF(MAX('Metric Table'[Metric Key])=4,IF(MAX('Metric Table'[Metric Projection Seq])=5,[Projections] - [PY], [PY] - [Projections]), [Projections] - [PY])"
